date,community,income
2012,1,37779
2012,2,47941
2012,3,44229
2012,4,62076
2012,5,90279
2012,6,75730
2012,7,87694
2012,8,82169
2012,9,79342
2012,10,70578
2012,11,62021
2012,12,84347
2012,13,52283
2012,14,52666
2012,15,54773
2012,16,48758
2012,17,60945
2012,18,41387
2012,19,43103
2012,20,37327
2012,21,44388
2012,22,56115
2012,23,32303
2012,24,69962
2012,25,31289
2012,26,25362
2012,27,22103
2012,28,70307
2012,29,23107
2012,30,31229
2012,31,35103
2012,32,88756
2012,33,74175
2012,34,23590
2012,35,32389
2012,36,24815
2012,37,16569
2012,38,30347
2012,39,39593
2012,40,22059
2012,41,48643
2012,42,26452
2012,43,26865
2012,44,33849
2012,45,44574
2012,46,29452
2012,47,25430
2012,48,52393
2012,49,37957
2012,50,38175
2012,51,33496
2012,52,43629
2012,53,34031
2012,54,14579
2012,55,49907
2012,56,61669
2012,57,42055
2012,58,35667
2012,59,42371
2012,60,41707
2012,61,30716
2012,62,44876
2012,63,37773
2012,64,60222
2012,65,48793
2012,66,32601
2012,67,26858
2012,68,18744
2012,69,25950
2012,70,65200
2012,71,29999
2012,72,91239
2012,73,40553
2012,74,87851
2012,75,61223
2012,76,43259
2012,77,44429
2013,1,36461
2013,2,48538
2013,3,43961
2013,4,62125
2013,5,91425
2013,6,76509
2013,7,86904
2013,8,82194
2013,9,77036
2013,10,70546
2013,11,62463
2013,12,80407
2013,13,50687
2013,14,54387
2013,15,54596
2013,16,46843
2013,17,59890
2013,18,39982
2013,19,42911
2013,20,34799
2013,21,42745
2013,22,57024
2013,23,33119
2013,24,70097
2013,25,30580
2013,26,25454
2013,27,20219
2013,28,71114
2013,29,22708
2013,30,30013
2013,31,34049
2013,32,92841
2013,33,74377
2013,34,24299
2013,35,31526
2013,36,26240
2013,37,16854
2013,38,29983
2013,39,39735
2013,40,21390
2013,41,48285
2013,42,25866
2013,43,24707
2013,44,35051
2013,45,43459
2013,46,28457
2013,47,24640
2013,48,50162
2013,49,37438
2013,50,35196
2013,51,33678
2013,52,43568
2013,53,30548
2013,54,14698
2013,55,51591
2013,56,61312
2013,57,41186
2013,58,34208
2013,59,42219
2013,60,39686
2013,61,29097
2013,62,43370
2013,63,37010
2013,64,61411
2013,65,48654
2013,66,31161
2013,67,26738
2013,68,18369
2013,69,23896
2013,70,63221
2013,71,29113
2013,72,92771
2013,73,39566
2013,74,87156
2013,75,60313
2013,76,41572
2013,77,44721
2014,1,35144
2014,2,49136
2014,3,43693
2014,4,62174
2014,5,92572
2014,6,77288
2014,7,86115
2014,8,82220
2014,9,74731
2014,10,70514
2014,11,62905
2014,12,76468
2014,13,49092
2014,14,56108
2014,15,54419
2014,16,44929
2014,17,58836
2014,18,38578
2014,19,42720
2014,20,32271
2014,21,41103
2014,22,57933
2014,23,33936
2014,24,70232
2014,25,29872
2014,26,25546
2014,27,18335
2014,28,71921
2014,29,22309
2014,30,28797
2014,31,32995
2014,32,96926
2014,33,74580
2014,34,25008
2014,35,30664
2014,36,27666
2014,37,17139
2014,38,29620
2014,39,39878
2014,40,20722
2014,41,47927
2014,42,25281
2014,43,22550
2014,44,36254
2014,45,42345
2014,46,27463
2014,47,23850
2014,48,47932
2014,49,36920
2014,50,32218
2014,51,33861
2014,52,43507
2014,53,27065
2014,54,14817
2014,55,53275
2014,56,60955
2014,57,40317
2014,58,32750
2014,59,42068
2014,60,37665
2014,61,27479
2014,62,41864
2014,63,36247
2014,64,62600
2014,65,48515
2014,66,29722
2014,67,26619
2014,68,17994
2014,69,21842
2014,70,61242
2014,71,28227
2014,72,94303
2014,73,38579
2014,74,86462
2014,75,59404
2014,76,39885
2014,77,45014
2015,1,33826
2015,2,49733
2015,3,43425
2015,4,62223
2015,5,93718
2015,6,78067
2015,7,85325
2015,8,82245
2015,9,72425
2015,10,70482
2015,11,63347
2015,12,72528
2015,13,47496
2015,14,57829
2015,15,54242
2015,16,43014
2015,17,57781
2015,18,37173
2015,19,42528
2015,20,29743
2015,21,39460
2015,22,58842
2015,23,34752
2015,24,70367
2015,25,29163
2015,26,25638
2015,27,16451
2015,28,72728
2015,29,21910
2015,30,27581
2015,31,31941
2015,32,101011
2015,33,74782
2015,34,25717
2015,35,29801
2015,36,29091
2015,37,17424
2015,38,29256
2015,39,40020
2015,40,20053
2015,41,47569
2015,42,24695
2015,43,20392
2015,44,37456
2015,45,41230
2015,46,26468
2015,47,23060
2015,48,45701
2015,49,36401
2015,50,29239
2015,51,34043
2015,52,43446
2015,53,23582
2015,54,14936
2015,55,54959
2015,56,60598
2015,57,39448
2015,58,31291
2015,59,41916
2015,60,35644
2015,61,25860
2015,62,40358
2015,63,35484
2015,64,63789
2015,65,48376
2015,66,28282
2015,67,26499
2015,68,17619
2015,69,19788
2015,70,59263
2015,71,27341
2015,72,95835
2015,73,37592
2015,74,85767
2015,75,58494
2015,76,38198
2015,77,45306
2016,1,32509
2016,2,50331
2016,3,43157
2016,4,62272
2016,5,94865
2016,6,78846
2016,7,84536
2016,8,82271
2016,9,70120
2016,10,70450
2016,11,63789
2016,12,68589
2016,13,45901
2016,14,59550
2016,15,54065
2016,16,41100
2016,17,56727
2016,18,35769
2016,19,42337
2016,20,27215
2016,21,37818
2016,22,59751
2016,23,35569
2016,24,70502
2016,25,28455
2016,26,25730
2016,27,14567
2016,28,73535
2016,29,21511
2016,30,26365
2016,31,30887
2016,32,105096
2016,33,74985
2016,34,26426
2016,35,28939
2016,36,30517
2016,37,17709
2016,38,28893
2016,39,40163
2016,40,19385
2016,41,47211
2016,42,24110
2016,43,18235
2016,44,38659
2016,45,40116
2016,46,25474
2016,47,22270
2016,48,43471
2016,49,35883
2016,50,26261
2016,51,34226
2016,52,43385
2016,53,20099
2016,54,15055
2016,55,56643
2016,56,60241
2016,57,38579
2016,58,29833
2016,59,41765
2016,60,33623
2016,61,24242
2016,62,38852
2016,63,34721
2016,64,64978
2016,65,48237
2016,66,26843
2016,67,26380
2016,68,17244
2016,69,17734
2016,70,57284
2016,71,26455
2016,72,97367
2016,73,36605
2016,74,85073
2016,75,57585
2016,76,36511
2016,77,45599
