,Index Crime Rate,Neighborhood,Year
1,3914.254190090714,1,2012
2,2796.7404373794943,2,2012
3,4240.389482231999,3,2012
4,3300.690286094409,4,2012
5,3760.0356544281713,5,2012
6,4968.27474432077,6,2012
7,5301.583139810921,7,2012
8,8144.494053789208,8,2012
9,1074.056173137855,9,2012
10,1881.074868948149,10,2012
11,2712.313429893824,11,2012
12,1824.8764574787713,12,2012
13,3519.6245733788974,13,2012
14,2865.693947066094,14,2012
15,3365.6435110394,15,2012
16,3955.8565414074887,16,2012
17,2291.957140401502,17,2012
18,3026.063908113666,18,2012
19,3791.3946753098094,19,2012
20,3885.4423801481844,20,2012
21,4576.884912904075,21,2012
22,5545.415279151816,22,2012
23,7829.784419078699,23,2012
24,7128.131878542358,24,2012
25,8680.053298758194,25,2012
26,13578.54730723507,26,2012
27,11509.837009002858,27,2012
28,9513.30483937737,28,2012
29,11084.949108828603,29,2012
30,3315.9412151606,30,2012
31,4628.245487533938,31,2012
32,15416.483585461163,32,2012
33,4628.4218764463085,33,2012
34,5562.549404221756,34,2012
35,7895.561609488876,35,2012
36,5833.73018572695,36,2012
37,19947.961838681706,37,2012
38,8617.526649157842,38,2012
39,5468.917379881166,39,2012
40,13435.786024646088,40,2012
41,4638.9510816166885,41,2012
42,8384.31202061893,42,2012
43,11409.177965456725,43,2012
44,11864.224644543083,44,2012
45,9697.175910173528,45,2012
46,9768.358996447027,46,2012
47,9681.734966906039,47,2012
48,8154.204908965696,48,2012
49,9016.656511202358,49,2012
50,7722.173056610302,50,2012
51,6997.990877497896,51,2012
52,3215.5603452037035,52,2012
53,8721.691668377262,53,2012
54,10779.493174706906,54,2012
55,3260.2886157135376,55,2012
56,3149.5464302216624,56,2012
57,4563.310393714745,57,2012
58,3367.8551316345415,58,2012
59,4478.188135375118,59,2012
60,3322.4166708816624,60,2012
61,6842.514950522081,61,2012
62,3655.6565623888105,62,2012
63,3791.7580468700767,63,2012
64,2210.243513042598,64,2012
65,4125.340121126957,65,2012
66,6854.998604767874,66,2012
67,12447.242292009218,67,2012
68,13267.03873293387,68,2012
69,11828.552865413925,69,2012
70,3479.908362413216,70,2012
71,8313.955946391738,71,2012
72,3385.533336048512,72,2012
73,7094.450683498958,73,2012
74,1666.0051390252647,74,2012
75,5947.945255275377,75,2012
76,5899.659337256158,76,2012
77,3139.8052923503888,77,2012
1,3533.3532914721645,1,2013
2,2538.9541521052547,2,2013
3,3602.968713391438,3,2013
4,2997.2055930279744,4,2013
5,3355.4519030968368,5,2013
6,4254.3347203162275,6,2013
7,4541.4239057809045,7,2013
8,7187.214247837099,8,2013
9,985.1863793504926,9,2013
10,1506.9564367404005,10,2013
11,2460.048885080578,11,2013
12,1354.045210065071,12,2013
13,2911.6754242204274,13,2013
14,2560.950830951115,14,2013
15,2923.499667499046,15,2013
16,3600.276587772201,16,2013
17,2111.6801712276374,17,2013
18,2269.39970717424,18,2013
19,3356.4487783617865,19,2013
20,3588.2916131354787,20,2013
21,3796.335893083575,21,2013
22,4741.811202528647,22,2013
23,6562.668905965919,23,2013
24,6299.046478072459,24,2013
25,7711.445198312522,25,2013
26,11306.045248429979,26,2013
27,10052.36215857135,27,2013
28,8094.796898620857,28,2013
29,9339.719866960586,29,2013
30,2946.414074143507,30,2013
31,4502.799605892432,31,2013
32,14198.452558708837,32,2013
33,3742.8419150206964,33,2013
34,4616.376905070793,34,2013
35,8434.590700388044,35,2013
36,4487.748276568153,36,2013
37,16514.302565614827,37,2013
38,8723.807439607484,38,2013
39,4388.0482232928825,39,2013
40,13414.26790313373,40,2013
41,4272.9615351526445,41,2013
42,7648.496614312048,42,2013
43,10354.680804580135,43,2013
44,11936.653415151595,44,2013
45,8407.097530414978,45,2013
46,8685.719807029784,46,2013
47,8313.70869906518,47,2013
48,6358.53958703672,48,2013
49,8424.236390615522,49,2013
50,7478.601267856571,50,2013
51,7177.872352128309,51,2013
52,2559.200654455434,52,2013
53,7756.355347783455,53,2013
54,9628.184321377159,54,2013
55,3304.898331455534,55,2013
56,2788.1750821174965,56,2013
57,4890.693729484361,57,2013
58,2867.8293278951182,58,2013
59,4307.731992003627,59,2013
60,2863.78127195113,60,2013
61,6013.211994176689,61,2013
62,3666.3220608140814,62,2013
63,3211.625686023729,63,2013
64,2001.5910082373293,64,2013
65,3714.8391200022375,65,2013
66,5904.313748775652,66,2013
67,11770.88226354667,67,2013
68,12302.221454383387,68,2013
69,10725.105448924296,69,2013
70,3472.180418539833,70,2013
71,7927.01905017385,71,2013
72,2725.412154309742,72,2013
73,7109.227871939521,73,2013
74,1439.3816916906965,74,2013
75,5372.73337810609,75,2013
76,5617.112957833248,76,2013
77,2603.16429487443,77,2013
1,3137.9739426055266,1,2014
2,2235.4673624564775,2,2014
3,2955.8915911333734,3,2014
4,2290.4064537140202,4,2014
5,2705.9436586116544,5,2014
6,3440.975746482702,6,2014
7,4052.509276264216,7,2014
8,6050.037580846184,8,2014
9,797.6196877632586,9,2014
10,1468.8042301561838,10,2014
11,2325.61818728345,11,2014
12,1174.5650355051234,12,2014
13,2808.2586536179715,13,2014
14,2183.4416907007826,14,2014
15,2407.3817994393426,15,2014
16,2716.3413691765336,16,2014
17,1539.2263714411217,17,2014
18,1790.6536613771977,18,2014
19,2679.0710865430988,19,2014
20,3158.658683424859,20,2014
21,3124.5362223588895,21,2014
22,3993.0232890615384,22,2014
23,5611.430791083966,23,2014
24,5611.736183867044,24,2014
25,6897.022070471027,25,2014
26,10260.225837511998,26,2014
27,9182.345631903867,27,2014
28,7414.297924340216,28,2014
29,8948.572517992197,29,2014
30,2699.3032498914117,30,2014
31,4016.7322774008667,31,2014
32,12746.435933915516,32,2014
33,3515.362017259363,33,2014
34,4750.764284586574,34,2014
35,7674.704921981695,35,2014
36,4862.01465452302,36,2014
37,14482.395425819972,37,2014
38,7944.323065718974,38,2014
39,4321.638819886325,39,2014
40,11884.155080313458,40,2014
41,3543.822492015895,41,2014
42,6518.726166518972,42,2014
43,8621.263712115984,43,2014
44,10543.583416289495,44,2014
45,7469.235321728213,45,2014
46,7149.737240958998,46,2014
47,6474.247685185193,47,2014
48,6070.810677211995,48,2014
49,7308.337401577195,49,2014
50,8718.930398109665,50,2014
51,6930.610311633759,51,2014
52,2285.328280169851,52,2014
53,6718.357800966955,53,2014
54,9570.585494641955,54,2014
55,3015.9414045670133,55,2014
56,2305.344502889814,56,2014
57,3987.5553218527075,57,2014
58,2577.364852998001,58,2014
59,3296.2771458117627,59,2014
60,2809.186262791502,60,2014
61,5625.081444229258,61,2014
62,2565.291136840114,62,2014
63,2792.8232904536585,63,2014
64,1849.783907732448,64,2014
65,3396.8516984257576,65,2014
66,5135.573128460642,66,2014
67,9707.477954813892,67,2014
68,11097.111843381079,68,2014
69,9183.578846968892,69,2014
70,2917.4804101747764,70,2014
71,7386.252152870292,71,2014
72,2285.619298938232,72,2014
73,5720.987556156186,73,2014
74,1505.0358813052737,74,2014
75,4545.623905510587,75,2014
76,5070.357907617022,76,2014
77,2099.531430298933,77,2014
1,3137.285814226157,1,2015
2,1925.3016609758745,2,2015
3,3066.281328469277,3,2015
4,2213.652662201495,4,2015
5,2486.422001067411,5,2015
6,3398.004110745696,6,2015
7,3624.2072046740172,7,2015
8,6230.98771947466,8,2015
9,816.0703075957294,9,2015
10,1517.7111716621112,10,2015
11,2036.2483906110683,11,2015
12,1204.5290291495987,12,2015
13,2511.4090535446003,13,2015
14,2450.217075208044,14,2015
15,2474.9669374645814,15,2015
16,2957.588185420993,16,2015
17,1654.8689496843047,17,2015
18,1990.445859872604,18,2015
19,2540.405478065467,19,2015
20,3108.765221728085,20,2015
21,3258.2359476862357,21,2015
22,3905.265445063934,22,2015
23,5606.352961709639,23,2015
24,5311.709092763363,24,2015
25,6651.12490520484,25,2015
26,10611.928737412856,26,2015
27,8539.931406173158,27,2015
28,7215.117065908537,28,2015
29,8589.012854717812,29,2015
30,2468.7825713759935,30,2015
31,3704.4060939376186,31,2015
32,13391.920068290512,32,2015
33,3351.5669307184057,33,2015
34,3887.5661845705245,34,2015
35,8150.403625548958,35,2015
36,5290.278254895253,36,2015
37,14477.726574500732,37,2015
38,7797.57020724713,38,2015
39,3703.071672354933,39,2015
40,11311.592477981432,40,2015
41,3683.9759777603067,41,2015
42,6271.749601871615,42,2015
43,8848.367428343117,43,2015
44,10041.391173466696,44,2015
45,6368.507831821919,45,2015
46,7211.171315320482,46,2015
47,6380.638063806361,47,2015
48,5349.147749587572,48,2015
49,6916.952202529002,49,2015
50,6833.154588631884,50,2015
51,6027.455270494397,51,2015
52,2062.762518417541,52,2015
53,6095.136127256058,53,2015
54,10023.866348448642,54,2015
55,2281.451046115594,55,2015
56,2292.47605207747,56,2015
57,3493.735246050509,57,2015
58,2410.2991490482304,58,2015
59,3452.7434086933654,59,2015
60,2609.380272185388,60,2015
61,5092.740449576267,61,2015
62,2624.5899078269126,62,2015
63,2633.9002845109217,63,2015
64,1686.276175508633,64,2015
65,3151.20711562889,65,2015
66,4712.151092233106,66,2015
67,8786.112063756647,67,2015
68,10614.611519134063,68,2015
69,9694.696470508614,69,2015
70,2536.4874072125676,70,2015
71,7251.303972270982,71,2015
72,2623.9832065074784,72,2015
73,5189.781610121638,73,2015
74,1378.0909540029634,74,2015
75,4456.916474083776,75,2015
76,5176.345393736704,76,2015
77,2119.8714664928098,77,2015
1,3461.2547900400145,1,2016
2,2126.7689126507307,2,2016
3,3423.723212536038,3,2016
4,2505.185981934151,4,2016
5,2398.7290503670342,5,2016
6,3564.346334589224,6,2016
7,4158.228322832384,7,2016
8,7385.312583003122,8,2016
9,1193.488756079613,9,2016
10,1618.6529968281873,10,2016
11,2075.281531978405,11,2016
12,1592.407741880333,12,2016
13,2934.953245512245,13,2016
14,2548.3454553810006,14,2016
15,2407.1526822559217,15,2016
16,2873.1624313090806,16,2016
17,1974.0242338393025,17,2016
18,2152.0080610335417,18,2016
19,2816.602277554245,19,2016
20,3016.186869533158,20,2016
21,3262.157351755841,21,2016
22,4641.6041571864025,22,2016
23,6689.690053580424,23,2016
24,6637.526307269418,24,2016
25,7586.141973819523,25,2016
26,12881.749409614602,26,2016
27,9514.883259890701,27,2016
28,8991.26391386079,28,2016
29,10259.765914366553,29,2016
30,2964.6266453609583,30,2016
31,4079.6058652852985,31,2016
32,15640.194489462783,32,2016
33,3453.8862356496325,33,2016
34,3758.869242031801,34,2016
35,9880.590729990778,35,2016
36,6272.8338043702715,36,2016
37,19257.92281142148,37,2016
38,8702.168158050417,38,2016
39,4153.402024213009,39,2016
40,12115.482085071186,40,2016
41,4339.257312772332,41,2016
42,6626.858126787182,42,2016
43,8820.994247381217,43,2016
44,11121.782417759403,44,2016
45,6067.986427694168,45,2016
46,7844.031211695118,46,2016
47,5949.724825226838,47,2016
48,5417.585578674839,48,2016
49,7674.197491737739,49,2016
50,8606.338536922362,50,2016
51,6194.386426711567,51,2016
52,2302.054208525519,52,2016
53,6274.506722405205,53,2016
54,11569.842614472376,54,2016
55,2670.140019537595,55,2016
56,2920.125624996314,56,2016
57,3337.5715193896763,57,2016
58,2580.978756222411,58,2016
59,3324.2436047266374,59,2016
60,2620.6263652461857,60,2016
61,5739.218325468997,61,2016
62,2903.953289602406,62,2016
63,2768.2278876635983,63,2016
64,1820.198274621373,64,2016
65,3101.013202333443,65,2016
66,5145.942297958355,66,2016
67,10148.858928161488,67,2016
68,10552.63876178093,68,2016
69,10189.08794900609,69,2016
70,3466.0022106186298,70,2016
71,7501.350378106203,71,2016
72,2545.1768897938578,72,2016
73,5669.2398807334785,73,2016
74,1267.0848739146656,74,2016
75,3979.0205781759832,75,2016
76,5643.699002719849,76,2016
77,2334.565883708477,77,2016
