index,date,community,score
0,2012,1,41
1,2012,2,58
2,2012,3,54
3,2012,4,50
4,2012,5,70
5,2012,6,58
6,2012,7,59
7,2012,8,61
8,2012,9,70
9,2012,10,61
10,2012,11,57
11,2012,12,73
12,2012,13,67
13,2012,14,55
14,2012,15,45
15,2012,16,49
16,2012,17,55
17,2012,18,50
18,2012,19,42
19,2012,20,47
20,2012,21,49
21,2012,22,45
22,2012,23,40
23,2012,24,55
24,2012,25,47
25,2012,27,54
26,2012,28,52
27,2012,29,56
28,2012,30,50
29,2012,31,49
30,2012,32,63
31,2012,33,63
32,2012,34,55
33,2012,35,55
34,2012,36,37
35,2012,37,42
36,2012,38,46
37,2012,39,44
38,2012,40,29
39,2012,41,43
40,2012,42,43
41,2012,43,41
42,2012,44,48
43,2012,45,30
44,2012,46,36
45,2012,47,50
46,2012,48,55
47,2012,49,41
48,2012,50,45
49,2012,51,45
50,2012,52,41
51,2012,53,46
52,2012,54,35
53,2012,55,47
54,2012,56,45
55,2012,57,40
56,2012,58,49
57,2012,59,62
58,2012,60,47
59,2012,61,42
60,2012,62,40
61,2012,63,47
62,2012,64,64
63,2012,65,49
64,2012,66,35
65,2012,68,42
66,2012,69,43
67,2012,70,42
68,2012,71,40
69,2012,72,53
70,2012,73,42
71,2012,74,66
72,2012,75,49
73,2012,76,16
74,2012,77,54
75,2012,26,54
76,2012,67,42
77,2013,1,51
78,2013,2,73
79,2013,3,55
80,2013,4,63
81,2013,5,68
82,2013,6,76
83,2013,7,70
84,2013,8,62
85,2013,9,86
86,2013,10,73
87,2013,11,73
88,2013,12,86
89,2013,13,76
90,2013,14,57
91,2013,15,55
92,2013,16,55
93,2013,17,63
94,2013,18,44
95,2013,19,48
96,2013,20,48
97,2013,21,47
98,2013,22,53
99,2013,23,45
100,2013,24,61
101,2013,25,55
102,2013,27,52
103,2013,28,61
104,2013,29,44
105,2013,30,45
106,2013,31,48
107,2013,32,67
108,2013,33,58
109,2013,34,66
110,2013,35,32
111,2013,36,12
112,2013,37,49
113,2013,38,35
114,2013,39,44
115,2013,40,32
116,2013,41,48
117,2013,42,28
118,2013,43,43
119,2013,44,46
120,2013,45,41
121,2013,46,32
122,2013,47,41
123,2013,48,50
124,2013,49,49
125,2013,50,55
126,2013,51,58
127,2013,52,47
128,2013,53,42
129,2013,54,37
130,2013,55,55
131,2013,56,54
132,2013,57,50
133,2013,58,63
134,2013,59,72
135,2013,60,54
136,2013,61,43
137,2013,62,54
138,2013,63,58
139,2013,64,69
140,2013,65,64
141,2013,66,40
142,2013,68,39
143,2013,69,36
144,2013,70,54
145,2013,71,43
146,2013,72,53
147,2013,73,48
148,2013,74,88
149,2013,75,51
150,2013,76,55
151,2013,77,56
152,2013,26,52
153,2013,67,39
154,2014,1,54
155,2014,2,64
156,2014,3,65
157,2014,4,71
158,2014,5,66
159,2014,6,70
160,2014,7,75
161,2014,8,62
162,2014,9,73
163,2014,10,71
164,2014,11,66
165,2014,12,81
166,2014,13,70
167,2014,14,54
168,2014,15,52
169,2014,16,59
170,2014,17,69
171,2014,18,45
172,2014,19,54
173,2014,20,62
174,2014,21,49
175,2014,22,60
176,2014,23,63
177,2014,24,71
178,2014,25,50
179,2014,27,60
180,2014,28,58
181,2014,29,52
182,2014,30,45
183,2014,31,52
184,2014,32,48
185,2014,33,41
186,2014,34,54
187,2014,35,54
188,2014,36,46
189,2014,37,67
190,2014,38,46
191,2014,39,57
192,2014,40,38
193,2014,41,40
194,2014,42,43
195,2014,43,52
196,2014,44,49
197,2014,45,27
198,2014,46,34
199,2014,47,47
200,2014,48,62
201,2014,49,40
202,2014,50,54
203,2014,51,56
204,2014,52,48
205,2014,53,62
206,2014,54,42
207,2014,55,51
208,2014,56,57
209,2014,57,54
210,2014,58,53
211,2014,59,72
212,2014,60,59
213,2014,61,49
214,2014,62,55
215,2014,63,52
216,2014,64,66
217,2014,65,63
218,2014,66,49
219,2014,68,54
220,2014,69,43
221,2014,70,60
222,2014,71,52
223,2014,72,50
224,2014,73,58
225,2014,74,80
226,2014,75,61
227,2014,76,40
228,2014,77,65
229,2014,26,60
230,2014,67,54
231,2016,1,51
232,2016,2,68
233,2016,3,57
234,2016,4,60
235,2016,5,74
236,2016,6,73
237,2016,7,75
238,2016,8,67
239,2016,9,73
240,2016,10,75
241,2016,11,79
242,2016,12,77
243,2016,13,75
244,2016,14,55
245,2016,15,59
246,2016,16,65
247,2016,17,64
248,2016,18,63
249,2016,19,62
250,2016,20,59
251,2016,21,51
252,2016,22,65
253,2016,23,62
254,2016,24,63
255,2016,25,49
256,2016,27,57
257,2016,28,55
258,2016,29,50
259,2016,30,55
260,2016,31,56
261,2016,32,67
262,2016,33,59
263,2016,34,62
264,2016,35,45
265,2016,36,46
266,2016,37,55
267,2016,38,42
268,2016,39,60
269,2016,40,47
270,2016,41,59
271,2016,42,56
272,2016,43,51
273,2016,44,54
274,2016,45,64
275,2016,46,56
276,2016,47,50
277,2016,48,71
278,2016,49,54
279,2016,50,57
280,2016,51,57
281,2016,52,50
282,2016,53,56
283,2016,54,53
284,2016,55,53
285,2016,56,60
286,2016,57,50
287,2016,58,59
288,2016,59,69
289,2016,60,68
290,2016,61,52
291,2016,62,61
292,2016,63,54
293,2016,64,75
294,2016,65,58
295,2016,66,53
296,2016,68,51
297,2016,69,52
298,2016,70,62
299,2016,71,54
300,2016,72,59
301,2016,73,63
302,2016,74,81
303,2016,75,56
304,2016,76,71
305,2016,77,59
306,2016,26,57
307,2016,67,51
308,2015,1,53
309,2015,2,66
310,2015,3,61
311,2015,4,65
312,2015,5,70
313,2015,6,72
314,2015,7,75
315,2015,8,65
316,2015,9,73
317,2015,10,73
318,2015,11,72
319,2015,12,79
320,2015,13,72
321,2015,14,54
322,2015,15,55
323,2015,16,62
324,2015,17,66
325,2015,18,54
326,2015,19,58
327,2015,20,60
328,2015,21,50
329,2015,22,63
330,2015,23,62
331,2015,24,67
332,2015,25,50
333,2015,27,58
334,2015,28,57
335,2015,29,51
336,2015,30,50
337,2015,31,54
338,2015,32,57
339,2015,33,50
340,2015,34,58
341,2015,35,49
342,2015,36,46
343,2015,37,61
344,2015,38,44
345,2015,39,58
346,2015,40,42
347,2015,41,50
348,2015,42,50
349,2015,43,51
350,2015,44,52
351,2015,45,45
352,2015,46,45
353,2015,47,48
354,2015,48,66
355,2015,49,47
356,2015,50,55
357,2015,51,56
358,2015,52,49
359,2015,53,59
360,2015,54,47
361,2015,55,52
362,2015,56,58
363,2015,57,52
364,2015,58,56
365,2015,59,70
366,2015,60,63
367,2015,61,50
368,2015,62,58
369,2015,63,53
370,2015,64,71
371,2015,65,60
372,2015,66,51
373,2015,68,53
374,2015,69,47
375,2015,70,61
376,2015,71,53
377,2015,72,54
378,2015,73,61
379,2015,74,80
380,2015,75,58
381,2015,76,55
382,2015,77,62
383,2015,26,58
384,2015,67,53
