,community,2012_crime,2013_crime,2014_crime,2015_crime,2016_crime
0,1,3914.254190090714,3533.3532914721645,3137.9739426055266,3137.285814226157,3461.2547900400145
1,2,2796.740437379495,2538.954152105255,2235.4673624564775,1925.3016609758747,2126.7689126507307
2,3,4240.389482231999,3602.968713391438,2955.891591133373,3066.2813284692766,3423.7232125360383
3,4,3300.690286094409,2997.2055930279744,2290.4064537140202,2213.652662201495,2505.185981934151
4,5,3760.035654428171,3355.451903096837,2705.9436586116544,2486.4220010674107,2398.7290503670347
5,6,4968.27474432077,4254.334720316228,3440.975746482702,3398.004110745696,3564.346334589224
6,7,5301.583139810921,4541.423905780905,4052.5092762642157,3624.207204674017,4158.228322832384
7,8,8144.494053789208,7187.2142478371,6050.037580846184,6230.9877194746605,7385.312583003122
8,9,1074.056173137855,985.1863793504925,797.6196877632586,816.0703075957293,1193.488756079613
9,10,1881.074868948149,1506.9564367404005,1468.8042301561838,1517.7111716621112,1618.6529968281873
10,11,2712.313429893824,2460.048885080578,2325.61818728345,2036.2483906110683,2075.281531978405
11,12,1824.8764574787713,1354.045210065071,1174.5650355051234,1204.5290291495987,1592.4077418803329
12,13,3519.624573378897,2911.6754242204274,2808.258653617972,2511.4090535446007,2934.953245512245
13,14,2865.6939470660936,2560.950830951115,2183.4416907007826,2450.217075208044,2548.345455381001
14,15,3365.6435110394,2923.499667499046,2407.3817994393426,2474.966937464581,2407.1526822559217
15,16,3955.856541407489,3600.276587772201,2716.3413691765336,2957.588185420993,2873.1624313090806
16,17,2291.957140401502,2111.6801712276374,1539.2263714411215,1654.8689496843049,1974.0242338393023
17,18,3026.0639081136655,2269.3997071742397,1790.6536613771975,1990.4458598726042,2152.0080610335417
18,19,3791.3946753098094,3356.4487783617865,2679.071086543099,2540.405478065467,2816.602277554245
19,20,3885.4423801481844,3588.291613135479,3158.658683424859,3108.7652217280847,3016.1868695331577
20,21,4576.884912904075,3796.335893083575,3124.536222358889,3258.235947686236,3262.157351755841
21,22,5545.415279151816,4741.811202528647,3993.0232890615375,3905.265445063934,4641.604157186402
22,23,7829.784419078699,6562.668905965919,5611.430791083966,5606.352961709638,6689.690053580423
23,24,7128.131878542358,6299.046478072459,5611.736183867043,5311.709092763363,6637.526307269418
24,25,8680.053298758194,7711.445198312522,6897.022070471026,6651.12490520484,7586.141973819523
25,26,13578.54730723507,11306.04524842998,10260.225837511998,10611.928737412856,12881.749409614602
26,27,11509.837009002858,10052.36215857135,9182.345631903869,8539.931406173158,9514.8832598907
27,28,9513.30483937737,8094.796898620857,7414.297924340216,7215.117065908537,8991.26391386079
28,29,11084.949108828603,9339.719866960586,8948.572517992197,8589.012854717812,10259.765914366551
29,30,3315.9412151605998,2946.414074143507,2699.303249891412,2468.782571375993,2964.6266453609583
30,31,4628.245487533938,4502.799605892432,4016.7322774008667,3704.4060939376186,4079.6058652852985
31,32,15416.483585461165,14198.452558708836,12746.435933915514,13391.920068290512,15640.194489462783
32,33,4628.421876446309,3742.841915020696,3515.362017259363,3351.5669307184057,3453.8862356496325
33,34,5562.549404221757,4616.376905070792,4750.764284586574,3887.566184570525,3758.869242031801
34,35,7895.561609488876,8434.590700388044,7674.704921981695,8150.403625548957,9880.590729990778
35,36,5833.7301857269495,4487.748276568153,4862.01465452302,5290.278254895254,6272.833804370272
36,37,19947.961838681706,16514.302565614827,14482.395425819974,14477.726574500732,19257.922811421482
37,38,8617.526649157842,8723.807439607484,7944.323065718974,7797.57020724713,8702.168158050417
38,39,5468.917379881166,4388.0482232928825,4321.638819886325,3703.071672354933,4153.402024213009
39,40,13435.78602464609,13414.26790313373,11884.155080313458,11311.592477981432,12115.482085071186
40,41,4638.9510816166885,4272.961535152645,3543.8224920158946,3683.9759777603063,4339.257312772332
41,42,8384.312020618929,7648.496614312048,6518.726166518973,6271.749601871615,6626.858126787181
42,43,11409.177965456724,10354.680804580135,8621.263712115984,8848.367428343117,8820.994247381217
43,44,11864.224644543083,11936.653415151597,10543.583416289495,10041.391173466696,11121.782417759405
44,45,9697.175910173528,8407.097530414978,7469.2353217282125,6368.507831821919,6067.986427694167
45,46,9768.358996447028,8685.719807029784,7149.737240958998,7211.171315320482,7844.031211695118
46,47,9681.73496690604,8313.708699065179,6474.2476851851925,6380.638063806361,5949.724825226838
47,48,8154.204908965696,6358.53958703672,6070.8106772119945,5349.147749587572,5417.585578674839
48,49,9016.656511202358,8424.236390615522,7308.337401577195,6916.952202529002,7674.197491737739
49,50,7722.1730566103015,7478.601267856571,8718.930398109665,6833.154588631884,8606.338536922362
50,51,6997.990877497896,7177.872352128309,6930.610311633758,6027.455270494397,6194.386426711568
51,52,3215.5603452037035,2559.200654455434,2285.328280169851,2062.762518417541,2302.0542085255192
52,53,8721.691668377262,7756.355347783455,6718.357800966955,6095.136127256058,6274.506722405205
53,54,10779.493174706906,9628.184321377159,9570.585494641955,10023.866348448642,11569.842614472376
54,55,3260.2886157135376,3304.898331455534,3015.941404567013,2281.4510461155937,2670.140019537595
55,56,3149.5464302216624,2788.1750821174965,2305.344502889814,2292.47605207747,2920.125624996314
56,57,4563.310393714745,4890.693729484361,3987.555321852708,3493.735246050509,3337.5715193896767
57,58,3367.855131634541,2867.8293278951182,2577.364852998001,2410.2991490482304,2580.978756222411
58,59,4478.188135375118,4307.731992003627,3296.2771458117627,3452.743408693365,3324.243604726637
59,60,3322.4166708816624,2863.7812719511303,2809.186262791502,2609.380272185388,2620.6263652461857
60,61,6842.514950522082,6013.21199417669,5625.081444229258,5092.740449576267,5739.218325468996
61,62,3655.6565623888105,3666.3220608140814,2565.291136840114,2624.589907826913,2903.953289602406
62,63,3791.758046870077,3211.625686023729,2792.8232904536585,2633.9002845109217,2768.2278876635987
63,64,2210.243513042598,2001.591008237329,1849.7839077324481,1686.276175508633,1820.198274621373
64,65,4125.340121126957,3714.8391200022375,3396.8516984257576,3151.20711562889,3101.013202333443
65,66,6854.998604767874,5904.313748775652,5135.573128460642,4712.151092233106,5145.942297958355
66,67,12447.24229200922,11770.88226354667,9707.477954813892,8786.112063756647,10148.858928161488
67,68,13267.03873293387,12302.221454383389,11097.111843381079,10614.611519134063,10552.63876178093
68,69,11828.552865413923,10725.105448924296,9183.578846968892,9694.696470508614,10189.08794900609
69,70,3479.908362413216,3472.1804185398328,2917.480410174777,2536.487407212568,3466.0022106186298
70,71,8313.955946391738,7927.01905017385,7386.252152870292,7251.303972270982,7501.350378106203
71,72,3385.533336048512,2725.412154309742,2285.619298938232,2623.983206507479,2545.1768897938573
72,73,7094.450683498958,7109.227871939522,5720.987556156187,5189.781610121639,5669.239880733479
73,74,1666.005139025265,1439.3816916906965,1505.0358813052735,1378.0909540029636,1267.0848739146654
74,75,5947.945255275377,5372.73337810609,4545.623905510587,4456.916474083776,3979.0205781759832
75,76,5899.659337256158,5617.112957833248,5070.357907617022,5176.345393736704,5643.699002719849
76,77,3139.8052923503888,2603.1642948744297,2099.531430298933,2119.8714664928093,2334.565883708477
